"","ID","score0"
"1",1,"23"
"2",2,"73"
"3",3,"73"
"4",4,"23"
"5",5,"52"
"6",6,"23"
"7",7,"23"
"8",8,"33"
"9",9,"23"
"10",10,"52"
"11",11,"23"
"12",12,"73"
"13",13,"23"
"14",14,"23"
"15",15,"8"
"16",16,"73"
"17",17,"67"
"18",18,"67"
"19",19,"23"
"20",20,"73"
"21",21,"23"
"22",22,"23"
"23",23,"8"
"24",24,"23"
"25",25,"83"
"26",26,"52"
"27",27,"56"
"28",28,"52"
"29",29,"8"
"30",30,"35"
"31",31,"23"
"32",32,"52"
"33",33,"83"
"34",34,"73"
"35",35,"52"
"36",36,"23"
"37",37,"8"
"38",38,"67"
"39",39,"35"
"40",40,"23"
"41",41,"38"
"42",42,"52"
"43",43,"73"
"44",44,"23"
"45",45,"83"
"46",46,"23"
"47",47,"52"
"48",48,"23"
"49",49,"56"
"50",50,"35"
"51",51,"23"
"52",52,"52"
"53",53,"52"
"54",54,"73"
"55",55,"52"
"56",56,"56"
"57",57,"67"
"58",58,"23"
"59",59,"83"
"60",60,"52"
"61",61,"23"
"62",62,"73"
"63",63,"23"
"64",64,"38"
"65",65,"23"
"66",66,"83"
"67",67,"56"
"68",68,"38"
"69",69,"52"
"70",70,"73"
"71",71,"52"
"72",72,"52"
"73",73,"83"
"74",74,"52"
"75",75,"23"
"76",76,"23"
"77",77,"52"
"78",78,"56"
"79",79,"83"
"80",80,"73"
"81",81,"73"
"82",82,"83"
"83",83,"56"
"84",84,"56"
"85",85,"52"
"86",86,"56"
"87",87,"23"
"88",88,"52"
"89",89,"23"
"90",90,"73"
"91",91,"52"
"92",92,"83"
"93",93,"52"
"94",94,"52"
"95",95,"50"
"96",96,"23"
"97",97,"50"
"98",98,"23"
"99",99,"23"
"100",100,"56"
"101",101,"23"
"102",102,"81"
"103",103,"56"
"104",104,"23"
"105",105,"83"
"106",106,"56"
"107",107,"40"
"108",108,"56"
"109",109,"73"
"110",110,"33"
"111",111,"52"
"112",112,"73"
"113",113,"44"
"114",114,"52"
"115",115,"73"
"116",116,"52"
"117",117,"50"
"118",118,"52"
"119",119,"83"
"120",120,"38"
"121",121,"23"
"122",122,"23"
"123",123,"83"
"124",124,"56"
"125",125,"67"
"126",126,"52"
"127",127,"58"
"128",128,"23"
"129",129,"83"
"130",130,"65"
"131",131,"73"
"132",132,"25"
"133",133,"23"
"134",134,"38"
"135",135,"52"
"136",136,"52"
"137",137,"23"
"138",138,"52"
"139",139,"58"
"140",140,"83"
"141",141,"73"
"142",142,"83"
"143",143,"83"
"144",144,"73"
"145",145,"96"
"146",146,"38"
"147",147,"52"
"148",148,"52"
"149",149,"65"
"150",150,"56"
"151",151,"65"
"152",152,"65"
"153",153,"52"
"154",154,"65"
"155",155,"38"
"156",156,"65"
"157",157,"35"
"158",158,"50"
"159",159,"52"
"160",160,"56"
"161",161,"73"
"162",162,"38"
"163",163,"52"
"164",164,"23"
"165",165,"33"
"166",166,"56"
"167",167,"52"
"168",168,"38"
"169",169,"23"
"170",170,"35"
"171",171,"96"
"172",172,"52"
"173",173,"52"
"174",174,"83"
"175",175,"56"
"176",176,"52"
"177",177,"52"
"178",178,"38"
"179",179,"83"
"180",180,"23"
"181",181,"56"
