"","ID","score1"
"355",355,"83"
"356",356,"100"
"357",357,"100"
"358",358,"83"
"359",359,"83"
"360",360,"100"
"361",361,"69"
"362",362,"100"
"363",363,"100"
"364",364,"69"
"365",365,"83"
"366",366,"100"
"367",367,"69"
"368",368,"83"
"369",369,"100"
"370",370,"69"
"371",371,"69"
"372",372,"100"
"373",373,"69"
"374",374,"83"
"375",375,"100"
"376",376,"69"
"377",377,"100"
"378",378,"83"
"379",379,"100"
"380",380,"69"
"381",381,"69"
"382",382,"69"
"383",383,"69"
"384",384,"69"
"385",385,"69"
"386",386,"69"
"387",387,"100"
"388",388,"69"
"389",389,"83"
"390",390,"100"
"391",391,"100"
"392",392,"69"
"393",393,"69"
"394",394,"69"
"395",395,"100"
"396",396,"100"
"397",397,"83"
"398",398,"83"
"399",399,NA
"400",400,"69"
"401",401,"100"
"402",402,"69"
"403",403,"83"
"404",404,"58"
"405",405,"69"
"406",406,"83"
"407",407,"54"
"408",408,"69"
"409",409,"73"
"410",410,"83"
"411",411,"100"
"412",412,"83"
"413",413,"73"
"414",414,"69"
"415",415,"73"
"416",416,"73"
"417",417,"83"
"418",418,"73"
"419",419,"83"
"420",420,"73"
"421",421,"83"
"422",422,"69"
"423",423,"73"
"424",424,"83"
"425",425,"54"
"426",426,"73"
"427",427,"73"
"428",428,"73"
"429",429,"83"
"430",430,"83"
"431",431,"83"
"432",432,"73"
"433",433,"69"
"434",434,"83"
"435",435,"73"
"436",436,"83"
"437",437,"69"
"438",438,"54"
"439",439,"69"
"440",440,"83"
"441",441,"73"
"442",442,"83"
"443",443,"73"
"444",444,"54"
"445",445,"83"
"446",446,"73"
"447",447,"69"
"448",448,"69"
"449",449,"69"
"450",450,"69"
"451",451,"83"
"452",452,"73"
"453",453,"73"
"454",454,"69"
"455",455,"69"
"456",456,"73"
"457",457,"69"
"458",458,"69"
"459",459,"69"
"460",460,"69"
"461",461,"54"
"462",462,"69"
"463",463,"69"
"464",464,"69"
"465",465,"69"
"466",466,"58"
"467",467,"54"
"468",468,"54"
"469",469,"58"
"470",470,"73"
"471",471,"54"
"472",472,"69"
"473",473,"40"
"474",474,"69"
"475",475,"58"
"476",476,"69"
"477",477,"58"
"478",478,"58"
"479",479,"69"
"480",480,"58"
"481",481,"54"
