"","ID","score1"
"356",356,"40"
"357",357,"83"
"358",358,"83"
"359",359,"40"
"360",360,"40"
"361",361,"40"
"362",362,"40"
"363",363,"83"
"364",364,"83"
"365",365,"40"
"366",366,"40"
"367",367,"40"
"368",368,"40"
"369",369,"83"
"370",370,"73"
"371",371,"40"
"372",372,"73"
"373",373,"40"
"374",374,"58"
"375",375,"40"
"376",376,"40"
"377",377,"83"
"378",378,"40"
"379",379,"83"
"380",380,"83"
"381",381,"83"
"382",382,"40"
"383",383,"40"
"384",384,"73"
"385",385,"83"
"386",386,"40"
"387",387,"83"
"388",388,"83"
"389",389,"83"
"390",390,"69"
"391",391,"83"
"392",392,"40"
"393",393,"83"
"394",394,"73"
"395",395,"50"
"396",396,"83"
"397",397,"83"
"398",398,"73"
"399",399,"83"
"400",400,"83"
"401",401,"40"
"402",402,"83"
"403",403,"83"
"404",404,"83"
"405",405,"83"
"406",406,"40"
"407",407,"96"
"408",408,"96"
"409",409,"96"
"410",410,"83"
"411",411,"96"
"412",412,"96"
"413",413,"96"
"414",414,"96"
"415",415,"96"
"416",416,"96"
"417",417,"96"
"418",418,"96"
"419",419,"96"
"420",420,"96"
"421",421,"100"
"422",422,"96"
"423",423,"96"
"424",424,"96"
"425",425,"96"
"426",426,"96"
"427",427,"96"
"428",428,"96"
"429",429,"96"
"430",430,"96"
"431",431,"96"
"432",432,"96"
"433",433,"100"
"434",434,"96"
"435",435,"96"
"436",436,"96"
"437",437,"96"
"438",438,"96"
"439",439,"96"
"440",440,"96"
"441",441,"96"
"442",442,"96"
"443",443,"96"
"444",444,"96"
"445",445,"96"
"446",446,"96"
"447",447,"96"
"448",448,"96"
"449",449,"96"
"450",450,"96"
"451",451,"96"
"452",452,"83"
"453",453,"96"
"454",454,"83"
"455",455,"96"
"456",456,"83"
"457",457,"83"
"458",458,"96"
"459",459,"96"
"460",460,"83"
"461",461,"96"
"462",462,"96"
"463",463,"96"
"464",464,"96"
"465",465,"96"
"466",466,"96"
"467",467,"96"
"468",468,"96"
"469",469,"96"
"470",470,"96"
"471",471,"96"
"472",472,"96"
"473",473,"96"
"474",474,"96"
"475",475,"96"
"476",476,"96"
"477",477,"96"
"478",478,"100"
"479",479,"96"
"480",480,"96"
"481",481,"96"
"482",482,"96"
"483",483,"96"
"484",484,"96"
"485",485,"96"
"486",486,"83"
"487",487,"96"
"488",488,"96"
"489",489,"96"
"490",490,"83"
"491",491,"96"
"492",492,"96"
"493",493,"96"
"494",494,"96"
"495",495,"96"
"496",496,"96"
"497",497,"96"
"498",498,"83"
"499",499,"96"
"500",500,"96"
"501",501,"83"
"502",502,"96"
"503",503,"96"
"504",504,"96"
"505",505,"96"
"506",506,"96"
"507",507,"96"
"508",508,"83"
"509",509,"96"
"510",510,"96"
"511",511,"96"
"512",512,"96"
"513",513,"96"
"514",514,"96"
"515",515,"83"
"516",516,"96"
"517",517,"96"
"518",518,"96"
"519",519,"96"
"520",520,"96"
"521",521,"96"
"522",522,"96"
"523",523,"96"
"524",524,"96"
"525",525,"96"
"526",526,"96"
"527",527,"96"
"528",528,"96"
"529",529,"83"
"530",530,"96"
"531",531,"96"
"532",532,"96"
"533",533,"96"
"534",534,"96"
"535",535,"83"
"536",536,"96"
"537",537,"83"
"538",538,"96"
"539",539,"96"
"540",540,"83"
"541",541,"96"
"542",542,"83"
"543",543,"96"
"544",544,"96"
"545",545,"83"
"546",546,"96"
"547",547,"96"
"548",548,"96"
"549",549,"96"
"550",550,"96"
"551",551,"83"
"552",552,"96"
"553",553,"83"
"554",554,"96"
"555",555,"83"
"556",556,"96"
"557",557,"96"
"558",558,"96"
"559",559,"96"
"560",560,"83"
"561",561,"96"
"562",562,"83"
"563",563,"96"
"564",564,"96"
"565",565,"96"
"566",566,"83"
"567",567,"96"
"568",568,"96"
"569",569,"83"
"570",570,"96"
"571",571,"96"
"572",572,"96"
"573",573,"96"
"574",574,"83"
"575",575,"96"
"576",576,"83"
"577",577,"96"
"578",578,"96"
"579",579,"96"
"580",580,"96"
"581",581,"96"
"582",582,"96"
"583",583,"96"
"584",584,"96"
"585",585,"96"
"586",586,"96"
"587",587,"96"
"588",588,"96"
"589",589,"96"
"590",590,"96"
"591",591,"96"
"592",592,"96"
"593",593,"96"
"594",594,"96"
"595",595,"96"
"596",596,"96"
"597",597,"96"
"598",598,"96"
"599",599,"96"
"600",600,"83"
"601",601,"96"
"602",602,"96"
"603",603,"83"
"604",604,"96"
"605",605,"83"
"606",606,"96"
"607",607,"83"
"608",608,"96"
"609",609,"96"
"610",610,"83"
"611",611,"96"
"612",612,"96"
"613",613,"96"
"614",614,"96"
"615",615,"96"
"616",616,"96"
"617",617,"96"
"618",618,"96"
"619",619,"96"
"620",620,"96"
"621",621,"96"
"622",622,"96"
"623",623,"83"
"624",624,"83"
"625",625,"83"
"626",626,"83"
"627",627,"83"
"628",628,"96"
"629",629,"83"
"630",630,"83"
"631",631,"96"
"632",632,"96"
"633",633,"96"
"634",634,"96"
"635",635,"96"
"636",636,"96"
"637",637,"96"
"638",638,"96"
"639",639,"96"
"640",640,"96"
"641",641,"96"
"642",642,"96"
"643",643,"96"
"644",644,"96"
"645",645,"96"
"646",646,"96"
"647",647,"96"
"648",648,"96"
"649",649,"96"
"650",650,"96"
"651",651,"96"
"652",652,"96"
"653",653,"96"
"654",654,"96"
"655",655,"96"
"656",656,"96"
"657",657,"96"
"658",658,"96"
"659",659,"96"
"660",660,"96"
"661",661,"83"
"662",662,"96"
"663",663,"83"
"664",664,"96"
"665",665,"96"
"666",666,"96"
"667",667,"96"
"668",668,"96"
"669",669,"96"
"670",670,"96"
"671",671,"96"
"672",672,"96"
"673",673,"96"
"674",674,"96"
"675",675,"96"
"676",676,"96"
"677",677,"96"
"678",678,"96"
"679",679,"96"
"680",680,"96"
"681",681,"96"
"682",682,"96"
"683",683,"96"
"684",684,"96"
"685",685,"96"
"686",686,"96"
"687",687,"96"
"688",688,"96"
"689",689,"96"
"690",690,"96"
"691",691,"96"
"692",692,"96"
"693",693,"96"
"694",694,NA
"695",695,"83"
"696",696,"96"
"697",697,"83"
"698",698,"96"
"699",699,"96"
"700",700,"83"
"701",701,"83"
"702",702,"96"
"703",703,"96"
"704",704,"96"
"705",705,"96"
"706",706,"96"
"707",707,"96"
"708",708,"96"
"709",709,"96"
"710",710,"96"
"711",711,"96"
"712",712,"96"
"713",713,"96"
"714",714,"96"
"715",715,"96"
"716",716,"96"
"717",717,"96"
"718",718,"96"
"719",719,"96"
"720",720,"96"
"721",721,"96"
"722",722,"96"
"723",723,"96"
"724",724,"96"
"725",725,"96"
"726",726,"96"
"727",727,"96"
"728",728,"96"
"729",729,"96"
"730",730,"96"
"731",731,"96"
"732",732,"96"
"733",733,"96"
"734",734,"96"
"735",735,"96"
"736",736,"96"
"737",737,"96"
"738",738,"96"
"739",739,"96"
"740",740,"96"
"741",741,"96"
"742",742,NA
"743",743,"96"
"744",744,"96"
"745",745,"96"
"746",746,"96"
"747",747,"96"
"748",748,"96"
"749",749,"96"
"750",750,"96"
"751",751,"96"
"752",752,"96"
"753",753,"96"
"754",754,"96"
"755",755,"96"
"756",756,"96"
"757",757,"96"
"758",758,"96"
"759",759,"96"
"760",760,"96"
"761",761,"96"
"762",762,"96"
"763",763,"96"
"764",764,"96"
"765",765,"96"
"766",766,"96"
"767",767,"96"
"768",768,"96"
"769",769,"96"
"770",770,"96"
"771",771,"96"
"772",772,"96"
"773",773,"96"
"774",774,"96"
"775",775,"96"
"776",776,"96"
"777",777,"96"
"778",778,"96"
"779",779,"96"
"780",780,"96"
"781",781,"96"
"782",782,"96"
"783",783,"96"
"784",784,"96"
"785",785,"96"
"786",786,"96"
"787",787,"96"
"788",788,"96"
"789",789,"96"
"790",790,"96"
"791",791,"96"
"792",792,"96"
"793",793,"96"
"794",794,"96"
"795",795,"96"
"796",796,"96"
"797",797,"96"
"798",798,"96"
"799",799,"96"
"800",800,"96"
"801",801,"96"
"802",802,"96"
"803",803,NA
"804",804,"96"
"805",805,"96"
"806",806,"96"
"807",807,"96"
"808",808,"96"
"809",809,"96"
"810",810,"100"
"811",811,"96"
"812",812,"83"
"813",813,"100"
"814",814,"96"
"815",815,"100"
"816",816,"83"
"817",817,"96"
"818",818,"83"
"819",819,"100"
"820",820,"83"
"821",821,"73"
"822",822,"40"
"823",823,"83"
"824",824,"83"
"825",825,"50"
"826",826,"83"
"827",827,"83"
"828",828,"83"
"829",829,"50"
"830",830,"96"
"831",831,"100"
"832",832,"83"
"833",833,"83"
"834",834,"83"
"835",835,"83"
"836",836,"83"
"837",837,"83"
"838",838,"50"
"839",839,"83"
"840",840,"65"
"841",841,"65"
"842",842,"50"
"843",843,"83"
"844",844,"83"
"845",845,"65"
"846",846,"83"
"847",847,"73"
"848",848,"65"
"849",849,"83"
"850",850,"73"
"851",851,"83"
"852",852,"83"
"853",853,"83"
"854",854,"83"
"855",855,"83"
"856",856,"83"
"857",857,"50"
"858",858,"83"
"859",859,"83"
"860",860,"83"
"861",861,"83"
"862",862,"83"
"863",863,"65"
"864",864,"83"
"865",865,"83"
"866",866,"65"
"867",867,"83"
"868",868,"65"
"869",869,"83"
"870",870,"83"
"871",871,"83"
"872",872,"83"
"873",873,"83"
"874",874,"83"
"875",875,"65"
"876",876,"83"
"877",877,"83"
"878",878,"83"
"879",879,"83"
"880",880,"65"
"881",881,"65"
"882",882,"83"
"883",883,"83"
"884",884,"65"
"885",885,"65"
"886",886,"83"
"887",887,"65"
"888",888,"83"
"889",889,"83"
"890",890,"83"
"891",891,"83"
"892",892,"83"
"893",893,"83"
"894",894,"83"
"895",895,"83"
"896",896,"83"
"897",897,"65"
"898",898,"83"
"899",899,"83"
"900",900,"83"
"901",901,"83"
"902",902,"83"
"903",903,"65"
"904",904,"83"
"905",905,"83"
"906",906,"83"
"907",907,"83"
"908",908,"83"
"909",909,"83"
"910",910,"83"
"911",911,"83"
"912",912,"83"
"913",913,"83"
"914",914,"83"
"915",915,"65"
"916",916,"83"
"917",917,"83"
"918",918,"83"
"919",919,"83"
"920",920,"83"
"921",921,"83"
"922",922,"83"
"923",923,"83"
"924",924,"83"
"925",925,"83"
"926",926,"83"
"927",927,"83"
"928",928,"83"
"929",929,"83"
"930",930,"83"
"931",931,"83"
"932",932,"83"
"933",933,"83"
"934",934,"83"
"935",935,"83"
"936",936,"83"
"937",937,"83"
"938",938,"83"
"939",939,"83"
"940",940,"83"
"941",941,"65"
"942",942,"83"
"943",943,"83"
"944",944,"83"
"945",945,"83"
"946",946,"83"
"947",947,"65"
"948",948,"83"
"949",949,"83"
"950",950,"83"
"951",951,"54"
"952",952,"83"
"953",953,"65"
"954",954,"83"
"955",955,"83"
"956",956,"65"
"957",957,"83"
"958",958,"65"
"959",959,"83"
"960",960,"83"
"961",961,"54"
"962",962,"83"
"963",963,"83"
"964",964,"83"
"965",965,"83"
"966",966,"58"
"967",967,"83"
"968",968,"83"
"969",969,"58"
"970",970,"83"
"971",971,"83"
"972",972,"58"
"973",973,"65"
"974",974,"65"
"975",975,"65"
"976",976,"83"
"977",977,"50"
"978",978,"83"
"979",979,"65"
"980",980,"83"
"981",981,"83"
"982",982,"83"
"983",983,"83"
"984",984,"83"
"985",985,"83"
"986",986,"83"
"987",987,"65"
"988",988,"83"
"989",989,"83"
