"","ID","score0"
"1",1,"96"
"2",2,"38"
"3",3,"38"
"4",4,"96"
"5",5,"65"
"6",6,"69"
"7",7,"38"
"8",8,"83"
"9",9,"50"
"10",10,"96"
"11",11,"81"
"12",12,"69"
"13",13,"96"
"14",14,"96"
"15",15,"83"
"16",16,"96"
"17",17,"96"
"18",18,"83"
"19",19,"96"
"20",20,"65"
"21",21,"96"
"22",22,"96"
"23",23,"96"
"24",24,"83"
"25",25,"83"
"26",26,"65"
"27",27,"96"
"28",28,"65"
"29",29,"96"
"30",30,"96"
"31",31,"96"
"32",32,"65"
"33",33,"96"
"34",34,"65"
"35",35,"83"
"36",36,"96"
"37",37,"83"
"38",38,"96"
"39",39,"83"
"40",40,"58"
"41",41,"96"
"42",42,"75"
"43",43,"69"
"44",44,"83"
"45",45,"75"
"46",46,"83"
"47",47,"83"
"48",48,"83"
"49",49,"83"
"50",50,"83"
"51",51,"83"
"52",52,"83"
"53",53,"73"
"54",54,"69"
"55",55,"69"
"56",56,"96"
"57",57,"96"
"58",58,"100"
"59",59,"96"
"60",60,"96"
"61",61,"100"
"62",62,"96"
"63",63,"100"
"64",64,"100"
"65",65,"96"
"66",66,"83"
"67",67,"96"
"68",68,"83"
"69",69,"83"
"70",70,"83"
"71",71,"96"
"72",72,"96"
"73",73,"96"
"74",74,"96"
"75",75,"96"
"76",76,"100"
"77",77,"96"
"78",78,"100"
"79",79,"96"
"80",80,"100"
"81",81,"96"
"82",82,"96"
"83",83,"96"
"84",84,"96"
"85",85,"73"
"86",86,"73"
"87",87,"83"
"88",88,"96"
"89",89,"83"
"90",90,"96"
"91",91,"77"
"92",92,"73"
"93",93,"83"
"94",94,"96"
"95",95,"100"
"96",96,"100"
"97",97,"65"
"98",98,"65"
"99",99,"65"
"100",100,"65"
"101",101,"65"
"102",102,"65"
"103",103,"65"
"104",104,"65"
"105",105,"65"
"106",106,"65"
"107",107,"65"
"108",108,"65"
"109",109,"65"
"110",110,"65"
"111",111,"65"
"112",112,"65"
"113",113,"56"
"114",114,"56"
"115",115,"65"
"116",116,"69"
"117",117,"65"
"118",118,"65"
"119",119,"65"
"120",120,"40"
"121",121,"65"
"122",122,"65"
"123",123,"65"
"124",124,"56"
"125",125,"40"
"126",126,"40"
"127",127,"58"
"128",128,"40"
"129",129,"40"
"130",130,"48"
"131",131,"58"
"132",132,"69"
"133",133,"69"
"134",134,"48"
"135",135,"69"
"136",136,"58"
"137",137,"71"
"138",138,"40"
"139",139,"40"
"140",140,"69"
"141",141,"40"
"142",142,"71"
"143",143,"69"
"144",144,"58"
"145",145,"69"
"146",146,"58"
"147",147,"71"
"148",148,"69"
"149",149,"58"
"150",150,"40"
"151",151,"58"
"152",152,"69"
"153",153,"29"
"154",154,"71"
"155",155,"50"
"156",156,"58"
"157",157,"58"
"158",158,"58"
"159",159,"58"
"160",160,"58"
"161",161,"29"
"162",162,"58"
"163",163,"58"
"164",164,"58"
"165",165,"58"
"166",166,"15"
"167",167,"15"
"168",168,"29"
"169",169,"40"
"170",170,"40"
"171",171,"23"
"172",172,"23"
"173",173,"23"
"174",174,"23"
"175",175,"15"
"176",176,"15"
"177",177,"15"
"178",178,"29"
"179",179,"29"
"180",180,"29"
"181",181,"15"
"182",182,"29"
"183",183,"38"
"184",184,"38"
"185",185,"29"
"186",186,"29"
"187",187,"15"
"188",188,"15"
"189",189,"38"
"190",190,"40"
"191",191,"38"
"192",192,"40"
"193",193,"38"
"194",194,"40"
"195",195,"23"
"196",196,"40"
"197",197,"38"
"198",198,"40"
"199",199,"40"
"200",200,"40"
"201",201,"27"
"202",202,"38"
"203",203,"40"
"204",204,"38"
"205",205,"38"
"206",206,"40"
"207",207,"40"
"208",208,"38"
"209",209,"38"
"210",210,"40"
"211",211,"42"
"212",212,"40"
"213",213,"38"
"214",214,"38"
"215",215,"40"
"216",216,"23"
"217",217,"0"
"218",218,"38"
"219",219,"40"
"220",220,"38"
"221",221,"40"
"222",222,"40"
"223",223,"40"
"224",224,"40"
"225",225,"40"
"226",226,"23"
"227",227,"23"
"228",228,"40"
"229",229,"23"
"230",230,"40"
"231",231,"40"
"232",232,"23"
"233",233,"40"
"234",234,"38"
"235",235,"38"
"236",236,"23"
"237",237,"38"
"238",238,"38"
"239",239,"40"
"240",240,"23"
"241",241,"38"
"242",242,"40"
"243",243,"23"
"244",244,"40"
"245",245,"23"
"246",246,"23"
"247",247,"0"
"248",248,"38"
"249",249,"23"
"250",250,"40"
"251",251,"23"
"252",252,"40"
"253",253,"23"
"254",254,"15"
"255",255,"48"
"256",256,"35"
"257",257,"23"
"258",258,"35"
"259",259,"40"
"260",260,"40"
"261",261,"23"
"262",262,"38"
"263",263,"40"
"264",264,"35"
"265",265,"40"
"266",266,"23"
"267",267,"23"
"268",268,"35"
"269",269,"23"
"270",270,"40"
"271",271,"40"
"272",272,"50"
"273",273,"23"
"274",274,"40"
"275",275,"23"
"276",276,"23"
"277",277,"40"
"278",278,"50"
"279",279,"40"
"280",280,"23"
"281",281,"40"
