"","x"
"1","100"
"2","100"
"3","100"
"4","100"
"5","100"
"6","100"
"7","100"
"8","100"
"9","100"
"10","100"
"11","100"
"12","100"
"13","100"
"14","100"
"15","100"
"16","100"
"17","100"
"18","100"
"19","100"
"20","100"
"21","100"
"22","100"
"23","100"
"24","100"
"25","100"
"26","100"
"27","100"
"28","100"
"29","100"
"30","100"
"31",NA
"32","96"
"33","96"
"34","96"
"35","96"
"36","96"
"37","96"
"38","96"
"39","96"
"40","100"
"41","100"
"42","96"
"43","100"
"44","100"
"45","100"
"46","100"
"47","100"
"48","100"
"49","100"
"50","100"
"51","100"
"52","96"
"53","100"
"54","100"
"55","23"
"56","100"
"57","100"
"58","100"
"59","100"
"60","100"
"61","100"
"62","100"
"63","100"
"64","100"
"65","100"
"66","100"
"67","100"
"68","100"
"69","100"
"70","100"
"71","100"
"72","100"
"73","100"
"74","100"
"75","100"
"76","100"
"77","100"
"78","100"
"79","100"
"80","100"
"81","100"
"82","100"
"83","100"
"84","100"
"85",NA
"86","100"
"87","100"
"88",NA
"89","100"
"90","96"
"91","96"
"92","96"
"93","96"
"94","100"
"95","100"
"96","96"
"97","96"
"98","96"
"99","96"
"100","96"
"101","96"
"102","96"
"103","96"
"104","96"
"105","96"
"106","96"
"107","96"
"108","96"
"109","96"
"110","96"
"111","96"
"112","96"
"113","96"
"114","96"
"115","96"
"116","83"
"117","96"
"118","100"
"119","100"
"120","100"
"121","100"
"122","100"
"123","100"
"124","100"
"125","100"
"126","100"
"127","100"
"128","100"
"129","100"
"130","96"
"131","42"
"132",NA
"133","50"
"134","83"
"135","83"
"136","83"
"137","65"
"138","65"
"139","65"
"140","83"
"141","83"
"142","50"
"143","83"
"144","83"
"145","8"
"146","50"
"147","83"
"148","65"
"149","33"
"150","65"
"151","83"
"152","54"
"153","73"
"154","83"
"155","83"
"156","73"
"157","83"
"158","83"
"159","83"
"160","83"
"161","83"
"162","83"
"163","83"
"164","96"
"165","96"
"166","83"
"167","83"
"168","83"
"169","83"
"170","83"
"171","83"
"172","83"
"173","83"
"174","83"
"175","83"
"176","83"
"177","83"
"178","83"
"179","83"
"180","83"
"181","83"
"182","83"
"183","83"
"184","0"
"185","83"
"186","83"
"187","83"
"188","83"
"189","83"
"190","83"
"191","83"
"192","83"
"193","83"
"194","96"
"195","96"
"196","83"
"197","65"
"198","65"
"199","83"
"200","65"
"201","83"
"202","83"
"203","100"
"204","100"
"205","83"
"206","100"
"207","100"
"208","100"
"209","100"
"210","100"
"211","100"
"212","83"
"213","83"
"214","83"
"215","83"
"216","52"
"217","83"
"218","83"
"219","96"
"220","100"
"221","100"
"222","100"
"223","83"
"224","100"
"225","83"
"226","52"
"227","96"
"228","96"
"229","71"
"230","52"
"231","81"
"232","83"
"233","96"
"234","96"
"235","96"
"236","83"
"237","83"
"238","96"
"239","83"
"240","96"
"241","83"
"242","96"
"243","83"
"244","83"
"245","83"
"246","83"
"247","83"
"248","83"
"249","83"
"250","83"
"251","83"
"252","83"
"253","83"
"254","73"
"255","83"
"256","83"
"257","83"
"258","83"
"259","83"
"260","83"
"261","96"
"262","83"
"263","83"
"264","83"
"265","96"
"266","83"
"267","83"
"268","73"
"269","85"
"270","83"
"271","96"
"272","83"
"273","96"
"274","83"
"275","96"
"276","96"
"277","96"
"278","96"
"279","96"
"280","96"
"281","96"
"282","77"
"283","58"
"284","100"
"285","83"
"286","83"
"287","100"
"288","100"
"289","100"
"290","100"
"291","96"
"292","96"
"293","96"
"294","96"
"295","100"
"296","83"
"297","100"
"298","96"
"299","96"
"300","100"
"301","100"
"302","100"
"303","100"
"304","100"
"305","100"
"306","96"
"307","83"
"308","40"
"309","94"
"310","96"
"311","83"
"312","73"
"313","96"
"314","69"
"315","69"
"316","96"
"317","69"
"318","83"
"319","96"
"320","96"
"321","83"
"322","96"
"323","40"
"324","96"
"325","96"
"326","83"
"327",NA
"328","63"
"329","96"
"330","96"
"331","100"
"332",NA
"333","100"
"334","96"
"335","96"
"336","96"
"337","96"
"338","96"
"339","83"
"340","96"
"341","83"
"342","83"
"343","100"
"344","100"
"345","83"
"346","100"
"347","90"
"348","83"
"349","83"
"350","96"
"351","96"
"352","96"
"353","100"
"354",NA
"355","83"
"356","96"
"357","96"
"358","96"
"359","83"
"360","96"
"361","96"
"362","96"
"363","96"
"364","96"
"365","96"
"366","96"
"367","96"
"368","96"
"369","96"
"370","96"
"371","96"
"372","96"
"373","96"
"374","83"
"375","96"
"376","96"
"377",NA
"378","96"
"379","96"
"380","96"
"381","96"
"382","96"
"383","96"
"384","96"
"385","96"
"386","96"
"387","96"
"388","83"
"389","96"
"390","83"
"391","83"
"392","96"
"393","96"
"394","83"
"395","96"
"396","96"
"397","96"
"398","96"
"399","96"
"400","83"
"401","65"
"402","65"
"403","83"
"404","83"
"405","83"
"406","69"
"407","69"
"408","83"
"409","96"
"410","50"
"411","52"
"412","10"
"413","10"
"414","81"
"415","52"
"416","83"
"417","50"
"418","96"
"419","81"
"420","96"
"421","96"
"422","96"
"423","96"
"424","96"
"425","83"
"426","96"
"427","96"
"428","83"
"429","83"
"430","83"
"431","69"
"432","96"
"433","69"
"434","83"
"435","83"
"436","83"
"437","83"
"438","83"
"439","83"
"440","83"
"441","83"
"442","83"
"443","83"
"444","83"
"445","83"
"446","83"
"447","83"
"448","83"
"449","83"
"450","83"
"451","83"
"452","83"
"453","83"
"454","83"
"455","83"
"456","83"
"457","83"
"458","83"
"459","83"
"460","83"
"461","83"
"462","83"
"463","83"
"464","83"
"465","83"
"466","83"
"467","83"
"468","83"
"469","83"
"470","83"
"471","83"
"472","96"
"473","96"
"474","96"
"475","83"
"476","96"
"477","83"
"478","83"
"479","83"
"480","83"
"481","96"
"482","96"
"483","96"
"484","96"
"485","83"
"486","73"
"487","83"
"488","96"
"489","96"
"490","96"
"491","73"
"492","96"
"493","83"
"494","73"
"495","83"
"496","83"
"497","83"
"498","83"
"499","83"
"500","65"
"501","65"
"502","83"
"503","73"
"504","73"
"505","73"
"506","83"
"507","83"
"508","83"
"509","83"
"510","83"
"511","83"
"512","83"
"513","83"
"514","83"
"515","0"
"516","50"
"517","0"
"518","65"
"519","83"
"520","65"
"521","83"
"522","69"
"523","65"
"524","65"
"525","65"
"526","83"
"527","83"
"528","83"
"529","83"
"530","0"
"531","83"
"532","83"
"533","65"
"534","83"
"535","83"
"536","83"
"537","54"
"538","96"
"539","83"
"540","83"
"541","83"
"542","83"
"543","83"
"544","83"
"545","58"
"546","73"
"547","73"
"548","83"
"549","83"
"550","83"
"551","83"
"552","83"
"553","83"
"554","83"
"555","81"
"556","38"
"557","96"
"558","83"
"559","83"
"560","83"
"561","81"
"562","81"
"563","83"
"564","96"
"565","83"
"566","100"
"567","96"
"568","96"
"569","83"
"570","96"
"571","96"
"572","96"
"573","96"
"574","96"
"575","100"
"576","96"
"577","96"
"578","96"
"579","100"
"580","100"
"581","100"
"582","88"
"583","33"
"584","8"
"585","100"
"586","100"
"587","100"
"588","100"
"589","96"
"590","69"
"591","96"
"592","96"
"593","96"
"594","96"
"595","96"
"596","96"
"597","96"
"598","8"
"599","96"
"600","83"
"601","96"
"602","96"
"603","96"
"604","96"
"605","96"
"606","96"
"607","96"
"608","96"
"609","96"
"610","96"
"611","83"
"612","81"
"613","73"
"614","96"
"615","96"
"616","96"
"617","96"
"618","96"
"619","96"
"620","96"
"621","96"
"622","81"
"623","96"
"624","96"
"625","96"
"626","96"
"627","96"
"628","96"
"629","96"
"630","96"
"631","96"
"632","96"
"633","96"
"634","96"
"635","96"
"636","83"
"637","96"
"638","96"
"639","96"
"640","96"
"641","96"
"642","96"
"643","96"
"644","96"
"645","100"
"646","100"
"647","96"
"648","96"
"649","96"
"650","100"
"651","100"
"652","96"
"653","96"
"654","96"
"655","96"
"656","96"
"657","96"
"658","100"
"659","100"
"660","96"
"661","96"
"662","96"
"663","96"
"664","0"
"665","96"
"666","100"
"667","100"
"668","96"
"669","81"
"670","67"
"671","63"
"672","96"
"673","96"
"674","0"
"675","96"
"676","96"
"677","71"
"678","40"
"679","0"
"680","15"
"681","96"
"682",NA
"683","10"
"684","25"
"685","96"
"686","8"
"687","96"
"688","83"
"689","96"
"690","96"
"691","96"
"692","10"
"693","25"
"694","73"
"695","85"
"696","73"
"697","85"
"698","73"
"699","73"
"700","77"
"701","73"
"702","58"
"703","58"
"704","58"
"705","44"
"706","77"
"707","77"
"708","77"
"709","77"
"710","90"
"711","100"
"712","96"
"713","81"
"714","83"
"715","85"
"716","83"
"717","81"
"718","83"
"719","65"
"720","96"
"721","96"
"722","96"
"723","96"
"724","96"
"725","96"
"726","96"
"727","96"
"728","96"
"729",NA
"730","96"
"731","96"
"732","96"
"733","100"
"734","96"
"735","100"
"736","100"
"737","100"
"738","100"
"739","100"
"740","96"
"741","96"
"742","96"
"743","96"
"744","96"
"745","96"
"746","96"
"747","83"
"748","96"
"749","96"
"750","83"
"751","96"
"752","96"
"753","96"
"754","96"
"755","96"
"756","96"
"757","83"
"758","96"
"759","83"
"760","83"
"761","83"
"762","52"
"763","83"
"764","83"
"765","83"
"766","100"
"767","83"
"768","100"
"769","100"
"770","100"
"771","96"
"772","96"
"773","67"
"774","96"
"775","96"
"776","96"
"777","96"
"778","83"
"779","96"
"780","96"
"781","96"
"782","96"
"783","96"
"784","96"
"785","96"
"786","100"
"787","100"
"788","100"
"789","83"
"790","88"
"791","83"
"792","83"
"793","83"
"794","83"
"795","83"
"796","83"
"797","83"
"798","83"
"799","100"
"800","73"
"801","100"
"802","100"
"803","85"
"804","73"
"805","0"
"806","79"
"807","33"
"808","25"
"809","79"
"810","79"
"811","96"
"812","69"
"813","79"
"814","83"
"815","73"
"816","83"
"817","83"
"818","73"
"819","83"
"820","83"
"821","40"
"822","83"
"823","83"
"824","83"
"825","73"
"826","83"
"827","83"
"828","83"
"829","65"
"830","65"
"831","83"
"832","96"
"833","83"
"834","83"
"835","100"
"836","96"
"837","96"
"838","100"
"839","83"
"840","83"
"841","100"
"842","83"
"843","83"
"844","96"
"845","8"
"846","96"
"847","83"
"848","96"
"849","83"
"850","83"
"851","96"
"852","96"
"853","96"
"854","83"
"855","83"
"856",NA
"857","83"
"858","23"
"859","83"
"860","83"
"861","69"
"862","83"
"863","83"
"864","83"
"865","83"
"866","69"
"867","83"
"868","83"
"869","83"
"870","83"
"871","83"
"872","83"
"873","83"
"874","83"
"875","77"
"876","96"
"877","94"
"878","75"
"879","15"
"880","75"
"881","96"
"882","83"
"883","96"
"884","67"
"885","83"
"886","96"
"887","96"
"888","96"
"889","96"
"890","65"
"891","83"
"892","83"
"893","96"
"894","96"
"895","83"
"896","83"
"897","83"
"898","83"
"899","96"
"900","83"
"901","83"
"902","83"
"903","83"
"904","65"
"905","83"
"906","83"
"907","2"
"908","31"
"909","83"
"910","83"
"911","69"
"912","69"
"913","100"
"914","100"
"915","100"
"916","100"
"917","100"
"918","100"
"919","100"
"920","100"
"921","100"
"922","96"
"923","96"
"924","100"
"925","96"
"926","96"
"927","96"
"928","100"
"929","100"
"930","100"
"931","100"
"932","100"
"933","100"
"934","100"
"935","100"
"936","100"
"937","100"
"938","100"
"939","100"
"940","100"
"941","100"
"942","100"
"943","96"
"944","96"
"945","100"
"946","100"
"947","100"
"948","100"
"949","100"
"950","100"
"951","96"
"952","96"
"953","96"
"954","83"
"955","77"
"956","96"
"957","96"
"958","83"
"959","96"
"960","96"
"961","100"
"962","100"
"963","100"
"964","100"
"965","100"
"966","96"
"967","96"
"968","100"
"969","100"
"970","100"
"971","100"
"972","100"
"973","100"
"974","96"
"975","96"
"976","77"
"977","96"
"978","96"
"979","96"
"980","96"
"981","96"
"982","96"
"983","96"
"984","96"
"985","96"
"986","96"
"987","96"
"988","96"
"989","96"
"990","96"
"991","96"
"992","96"
"993","79"
"994","75"
"995","67"
"996","96"
"997","85"
"998","96"
"999","96"
"1000","96"
"1001","96"
"1002","100"
"1003","96"
"1004","96"
"1005","100"
"1006","96"
"1007","96"
"1008","96"
"1009","96"
"1010","65"
"1011","96"
"1012","96"
"1013","83"
"1014","96"
"1015","96"
"1016","96"
"1017","96"
"1018","65"
"1019","35"
"1020","25"
"1021","96"
"1022","96"
"1023","96"
"1024","96"
"1025","96"
"1026","85"
"1027","96"
"1028","71"
"1029","96"
"1030","83"
"1031","96"
"1032","96"
"1033","96"
"1034","96"
"1035","96"
"1036","96"
"1037","96"
"1038","96"
"1039","96"
"1040","96"
"1041","96"
"1042","96"
"1043","96"
"1044","83"
"1045","50"
"1046","38"
"1047","96"
"1048","96"
"1049","96"
"1050","83"
"1051","96"
"1052","96"
"1053","63"
"1054","83"
"1055","96"
"1056","96"
"1057","83"
"1058","100"
"1059","100"
"1060","100"
"1061","100"
"1062","100"
"1063","100"
"1064","100"
"1065","100"
"1066","100"
"1067","100"
"1068","100"
"1069","100"
"1070","100"
"1071","100"
"1072","100"
"1073","100"
"1074","100"
"1075","100"
"1076","100"
"1077","100"
"1078","100"
"1079","100"
"1080","100"
"1081","100"
"1082","100"
"1083","100"
"1084","100"
"1085","100"
"1086","100"
"1087","100"
"1088","100"
"1089","100"
"1090","100"
"1091","100"
"1092","100"
"1093","100"
"1094","100"
"1095","100"
"1096","100"
"1097","100"
"1098","100"
"1099","100"
"1100","100"
"1101","100"
"1102","100"
"1103",NA
"1104","100"
"1105","100"
"1106","100"
"1107","100"
"1108","100"
"1109","96"
"1110","96"
"1111","96"
"1112","96"
"1113","83"
"1114","83"
"1115","83"
"1116","83"
"1117","65"
"1118","83"
"1119","96"
"1120","96"
"1121","96"
"1122","96"
"1123","83"
"1124","96"
"1125","96"
"1126","96"
"1127","83"
"1128","96"
"1129","96"
"1130","96"
"1131","96"
"1132","52"
"1133","65"
"1134","83"
