"","x"
"1135","73"
"1136","65"
"1137","73"
"1138","83"
"1139","83"
"1140","83"
"1141","83"
"1142","83"
"1143","83"
"1144","52"
"1145","73"
"1146","83"
"1147","73"
"1148","73"
"1149","73"
"1150","73"
"1151","83"
"1152","73"
"1153","83"
"1154","83"
"1155","83"
"1156","23"
"1157","58"
"1158","38"
"1159","0"
"1160","0"
"1161","0"
"1162","83"
"1163","83"
"1164","96"
"1165","96"
"1166","96"
"1167","96"
"1168","96"
"1169","83"
"1170","96"
"1171","100"
"1172","100"
"1173","56"
"1174","79"
"1175","83"
"1176","100"
"1177","79"
"1178","79"
"1179","96"
"1180","96"
"1181","52"
"1182","96"
"1183","100"
"1184","23"
"1185","96"
"1186","96"
"1187","96"
"1188","96"
"1189","96"
"1190","100"
"1191","96"
"1192","96"
"1193","100"
"1194","100"
"1195","96"
"1196","0"
"1197","96"
"1198","96"
"1199","96"
"1200","29"
"1201","100"
"1202","100"
"1203","83"
"1204","96"
"1205","96"
"1206","83"
"1207","83"
"1208","100"
"1209","83"
"1210","83"
"1211","96"
"1212","100"
"1213","83"
"1214","83"
"1215","100"
"1216","96"
"1217","96"
"1218","96"
"1219","96"
"1220","83"
"1221","73"
"1222","73"
"1223","96"
"1224","83"
"1225","96"
"1226","96"
"1227","96"
"1228","96"
"1229","96"
"1230","73"
"1231","83"
"1232","96"
"1233","83"
"1234","83"
"1235","96"
"1236","83"
"1237","96"
"1238","73"
"1239","73"
"1240",NA
"1241","73"
"1242","73"
"1243","96"
"1244","83"
"1245","100"
"1246","100"
"1247","100"
"1248","100"
"1249","100"
"1250","100"
"1251","96"
"1252","96"
"1253","83"
"1254","83"
"1255","96"
"1256","83"
"1257","81"
"1258","83"
"1259","83"
"1260","85"
"1261","96"
"1262","96"
"1263","83"
"1264","96"
"1265","85"
"1266","96"
"1267","96"
"1268","96"
"1269","96"
"1270","96"
"1271","96"
"1272","83"
"1273","96"
"1274","81"
"1275","73"
"1276","83"
"1277","100"
"1278","100"
"1279","83"
"1280","96"
"1281","96"
"1282","96"
"1283","96"
"1284","96"
"1285","96"
"1286","96"
"1287","83"
"1288","83"
"1289","83"
"1290","96"
"1291","96"
"1292","96"
"1293","0"
"1294","56"
"1295","96"
"1296","96"
"1297",NA
"1298","56"
"1299","96"
"1300","73"
"1301","96"
"1302","73"
"1303","83"
"1304","83"
"1305","96"
"1306","73"
"1307","73"
"1308","73"
"1309","73"
"1310","83"
"1311","73"
"1312","54"
"1313","63"
"1314","63"
"1315","0"
"1316","48"
"1317","65"
"1318","63"
"1319","63"
"1320","0"
"1321","35"
"1322","71"
"1323","23"
"1324","83"
"1325","73"
"1326","73"
"1327","73"
"1328","54"
"1329","54"
"1330","73"
"1331","54"
"1332","54"
"1333","54"
"1334","96"
"1335","96"
"1336","96"
"1337","100"
"1338","96"
"1339","100"
"1340","100"
"1341","100"
"1342","100"
"1343","96"
"1344","100"
"1345","96"
"1346","83"
"1347","83"
"1348","83"
"1349","83"
"1350","83"
"1351","83"
"1352","83"
"1353","83"
"1354","81"
"1355","83"
"1356","83"
"1357","81"
"1358","96"
"1359","96"
"1360","96"
"1361","83"
"1362","96"
"1363","96"
"1364","96"
"1365","96"
"1366","96"
"1367","96"
"1368","83"
"1369","96"
"1370","96"
"1371","96"
"1372","96"
"1373","96"
"1374","96"
"1375","85"
"1376","96"
"1377","96"
"1378","96"
"1379",NA
"1380","96"
"1381","96"
"1382","83"
"1383","83"
"1384","83"
"1385","83"
"1386","83"
"1387","96"
"1388","96"
"1389","96"
"1390","96"
"1391","96"
"1392","96"
"1393","96"
"1394","96"
"1395","83"
"1396","83"
"1397","83"
"1398","83"
"1399","83"
"1400","83"
"1401","83"
"1402","83"
"1403","96"
"1404","83"
"1405","83"
"1406","83"
"1407","83"
"1408","96"
"1409","96"
"1410","96"
"1411","96"
"1412","96"
"1413","96"
"1414","96"
"1415","96"
"1416","96"
"1417","96"
"1418","96"
"1419","96"
"1420","96"
"1421","15"
"1422","25"
"1423","96"
"1424","96"
"1425","73"
"1426","96"
"1427","96"
"1428","96"
"1429","96"
"1430","96"
"1431","96"
"1432","96"
"1433","96"
"1434","96"
"1435","33"
"1436","100"
"1437","100"
"1438","100"
"1439","52"
"1440","83"
"1441","33"
"1442","10"
"1443","96"
"1444","96"
"1445","0"
"1446","81"
"1447","96"
"1448","96"
"1449","81"
"1450","31"
"1451","31"
"1452","31"
"1453","38"
"1454","38"
"1455","38"
"1456","0"
"1457","17"
"1458","42"
"1459","100"
"1460","100"
"1461","48"
"1462","88"
"1463","48"
"1464","38"
"1465","38"
"1466","83"
"1467","83"
"1468","69"
"1469","69"
"1470","83"
"1471","83"
"1472","83"
"1473","83"
"1474","71"
"1475","83"
"1476","96"
"1477","15"
"1478","52"
"1479","96"
"1480","73"
"1481","71"
"1482","15"
"1483","54"
"1484","96"
"1485","96"
"1486","96"
"1487","96"
"1488","83"
"1489","83"
"1490","85"
"1491","83"
"1492","96"
"1493","96"
"1494","96"
"1495","96"
"1496","69"
"1497","81"
"1498","96"
"1499","81"
"1500","83"
"1501","96"
"1502","96"
"1503","81"
"1504","83"
"1505","96"
"1506","81"
"1507","83"
"1508","96"
"1509","96"
"1510","83"
"1511","83"
"1512","83"
"1513","83"
"1514","83"
"1515","96"
"1516","83"
"1517","83"
"1518","96"
"1519","96"
"1520","73"
"1521","100"
"1522","73"
"1523","100"
"1524","73"
"1525","100"
"1526","73"
"1527","83"
"1528","58"
"1529","83"
"1530","83"
"1531","83"
"1532","83"
"1533","96"
"1534","100"
"1535","100"
"1536","77"
"1537","83"
"1538","96"
"1539","96"
"1540","96"
"1541","96"
"1542","96"
"1543","96"
"1544","96"
"1545","96"
"1546","96"
"1547","96"
"1548","96"
"1549","83"
"1550","96"
"1551","96"
"1552",NA
"1553","0"
"1554","96"
"1555","81"
"1556","69"
"1557","79"
"1558","69"
"1559","56"
"1560","38"
"1561","58"
"1562","69"
"1563","81"
"1564","96"
"1565","96"
"1566","96"
"1567","96"
"1568","96"
"1569","100"
"1570","96"
"1571","96"
"1572","96"
"1573","96"
"1574","96"
"1575",NA
