"","x"
"533","54"
"534","83"
"535","65"
"536","65"
"537","0"
"538","52"
"539","71"
"540","73"
"541","73"
"542","83"
"543","83"
"544","65"
"545","25"
"546","42"
"547","73"
"548","52"
"549","83"
"550","56"
"551","65"
"552","65"
"553","54"
"554","81"
"555","52"
"556","0"
"557","63"
"558","65"
"559","63"
"560","67"
"561","23"
"562","33"
"563","73"
"564","63"
"565","63"
"566","83"
"567","83"
"568","83"
"569","83"
"570","77"
"571","96"
"572","96"
"573","96"
"574","69"
"575","75"
"576","65"
"577","85"
"578","25"
"579","73"
"580","81"
"581","90"
"582","29"
"583","8"
"584","0"
"585","48"
"586","85"
"587","42"
"588","23"
"589","65"
"590","33"
"591","96"
"592","83"
"593","96"
"594","96"
"595","96"
"596","96"
"597","96"
"598","8"
"599","40"
"600","38"
"601","81"
"602","96"
"603","69"
"604","96"
"605","81"
"606","96"
"607","96"
"608","96"
"609","96"
"610","96"
"611","23"
"612","69"
"613","0"
"614","83"
"615","96"
"616","85"
"617","73"
"618","96"
"619","96"
"620","81"
"621","33"
"622","69"
"623","46"
"624","96"
"625","65"
"626","96"
"627","96"
"628","83"
"629","96"
"630","83"
"631","83"
"632","83"
"633","96"
"634","65"
"635","83"
"636","83"
"637","77"
"638","96"
"639","96"
"640","83"
"641","96"
"642","83"
"643","96"
"644","96"
"645","83"
"646","96"
"647","96"
"648","96"
"649","96"
"650","96"
"651","96"
"652","81"
"653","96"
"654","96"
"655",NA
"656","96"
"657","96"
"658","96"
"659","96"
"660","96"
"661","96"
"662","67"
"663","96"
"664","0"
"665","48"
"666","33"
"667","75"
"668","96"
"669","56"
"670","15"
"671","0"
"672","81"
"673","33"
"674","0"
"675","63"
"676","88"
"677","0"
"678","25"
"679","0"
"680","0"
"681","96"
"682","25"
"683","10"
"684","15"
"685","40"
"686","0"
"687","73"
"688","69"
"689","96"
"690","96"
"691","96"
"692","0"
"693","25"
"694","15"
"695","73"
"696","54"
"697","58"
"698","31"
"699","40"
"700","52"
"701","38"
"702","38"
"703","52"
"704","52"
"705","38"
"706","42"
"707","58"
"708","58"
"709","42"
"710","73"
"711","73"
"712","67"
"713","67"
"714","56"
"715","38"
"716","56"
"717","23"
"718","23"
"719","23"
"720","83"
"721","83"
"722","52"
"723","83"
"724","67"
"725","96"
"726","85"
"727","65"
"728","73"
"729","50"
"730","52"
"731","69"
"732","83"
"733","65"
"734","73"
"735","96"
"736","100"
"737","50"
"738","100"
"739","100"
"740","96"
"741","83"
"742","54"
"743","85"
"744","83"
"745","96"
"746","94"
"747","54"
"748","83"
"749","83"
"750","65"
"751","81"
"752","54"
"753","81"
"754","81"
"755","96"
"756","65"
"757","69"
"758","83"
"759","48"
"760","67"
"761","69"
"762","19"
"763","58"
"764","8"
"765","83"
"766","35"
"767","69"
"768","96"
"769","63"
"770","63"
"771","96"
"772","83"
"773","38"
"774","81"
"775","48"
"776","96"
"777","38"
"778","54"
"779","69"
"780","65"
"781","63"
"782","65"
"783","65"
"784","73"
"785","73"
"786","69"
"787","58"
"788","100"
"789","83"
"790","83"
"791","69"
"792","83"
"793","27"
"794","73"
"795","69"
"796","54"
"797","67"
"798","54"
"799","73"
"800","38"
"801","73"
"802","71"
"803","25"
"804","38"
"805","0"
"806","25"
"807","25"
"808","15"
"809","71"
"810","79"
"811","79"
"812","15"
"813","33"
"814","58"
"815","58"
"816","73"
"817","23"
"818","40"
"819","40"
"820","83"
"821","23"
"822","73"
"823","69"
"824","58"
"825","38"
"826","58"
"827","40"
"828","38"
"829","29"
"830","38"
"831","83"
"832","73"
"833","83"
"834","69"
"835","96"
"836","83"
"837","96"
"838","96"
"839","65"
"840","83"
"841","50"
"842","62"
"843","65"
"844","50"
"845","0"
"846","46"
"847","54"
"848","40"
"849","83"
"850","65"
"851","48"
"852","38"
"853","50"
"854",NA
"855","83"
"856","83"
"857","73"
"858","0"
"859","73"
"860","58"
"861","58"
"862","40"
"863","15"
"864","83"
"865","83"
"866","67"
"867","83"
"868","73"
"869","83"
"870","50"
"871","81"
"872","83"
